filename,keep,reason,bicubic_psnr
00000.png,True,keep,22.324906814892106
00001.png,True,keep,28.601587770681892
00002.png,True,keep,21.891912346057893
00003.png,True,keep,20.858779229395722
00004.png,True,keep,25.551332453414002
00005.png,True,keep,23.3528590271817
00006.png,True,keep,25.548973798769655
00007.png,True,keep,24.08784374605588
00008.png,True,keep,24.76588929436108
00009.png,True,keep,24.119614718407988
00010.png,True,keep,21.07019532744198
00011.png,True,keep,21.610451549346198
00012.png,True,keep,28.438015355723078
00013.png,True,keep,23.662028760970387
00014.png,True,keep,18.539469894554497
00015.png,True,keep,20.83593746271054
00016.png,True,keep,21.293850669387524
00017.png,True,keep,26.37946758703037
00018.png,True,keep,29.99404520565193
00019.png,True,keep,25.578955962004486
00020.png,True,keep,23.58642926693222
00021.png,False,low_psnr<18.0,12.08400440543752
00022.png,True,keep,28.051955636592524
00023.png,True,keep,23.678671013992275
00024.png,True,keep,25.660569265792166
00025.png,True,keep,37.58678091699266
00026.png,True,keep,27.323334302524998
00027.png,True,keep,25.609906014244444
00028.png,True,keep,22.13393606554622
00029.png,True,keep,24.93164171544013
00030.png,True,keep,21.68798949855086
00031.png,True,keep,26.765377381862933
00032.png,True,keep,19.916795128089955
00033.png,True,keep,38.05757979306778
00034.png,True,keep,26.916249052059655
00035.png,True,keep,19.790813773098673
00036.png,True,keep,27.300826560125103
00037.png,True,keep,23.092190529992138
00038.png,True,keep,24.686806508285617
00039.png,True,keep,19.458131440876148
00040.png,True,keep,21.6413707632911
00041.png,True,keep,29.019906110633357
00042.png,True,keep,28.99250547868231
00043.png,True,keep,37.667907283020845
00044.png,True,keep,21.09111608514699
00045.png,True,keep,30.00828097932144
00046.png,True,keep,31.475934578127173
00047.png,True,keep,25.080154492698075
00048.png,True,keep,26.40834158958693
00049.png,True,keep,23.781075069264837
00050.png,True,keep,20.32814967320998
00051.png,True,keep,24.670357618428383
00052.png,True,keep,24.78040134551994
00053.png,True,keep,23.68771049953193
00054.png,True,keep,18.643371355152535
00055.png,True,keep,21.811534443566924
00056.png,True,keep,26.664490741495488
00057.png,True,keep,26.49083774014731
00058.png,True,keep,37.47028069495263
00059.png,True,keep,32.05372038398871
00060.png,True,keep,26.842457555759587
00061.png,True,keep,25.56195861235034
00062.png,True,keep,28.55906092496952
00063.png,True,keep,33.544548148294325
00064.png,True,keep,36.535287264555436
00065.png,True,keep,26.26519047274986
00066.png,True,keep,24.38156146469886
00067.png,False,low_psnr<18.0,17.605379286789457
00068.png,False,low_psnr<18.0,16.004292411854593
00069.png,True,keep,23.820315578961633
00070.png,True,keep,24.40511290166957
00071.png,True,keep,25.953734918329324
00072.png,True,keep,23.271097859147968
00073.png,True,keep,23.127250302759084
00074.png,True,keep,21.261592323081857
00075.png,True,keep,21.027816166974127
00076.png,True,keep,23.357180897668826
00077.png,True,keep,39.3794065972154
00078.png,True,keep,22.268946272061104
00079.png,True,keep,24.383242137489628
00080.png,False,low_psnr<18.0,17.59596428808547
00081.png,True,keep,20.851545717946436
00082.png,True,keep,22.343176545527786
00083.png,True,keep,26.361067777402504
00084.png,True,keep,21.30610733538576
00085.png,True,keep,23.98075613157918
00086.png,True,keep,21.482123007642272
00087.png,True,keep,27.85756669974297
00088.png,True,keep,29.341287456346905
00089.png,True,keep,23.60022924733091
00090.png,True,keep,23.877849203360505
00091.png,True,keep,39.49277056361676
00092.png,True,keep,24.941613862821264
00093.png,True,keep,20.961349939001323
00094.png,True,keep,24.903406056881686
00095.png,True,keep,23.521718786608528
00096.png,True,keep,28.553174922473087
00097.png,True,keep,25.45990382729466
00098.png,True,keep,21.75017287214694
00099.png,True,keep,22.91117663656946
00100.png,True,keep,23.249940703738723
00101.png,True,keep,22.689214440886573
00102.png,True,keep,29.29010983964738
00103.png,True,keep,26.068510189274132
00104.png,True,keep,39.25359916258816
00105.png,True,keep,24.616591493777914
00106.png,True,keep,23.986940859168588
00107.png,True,keep,21.828235439360103
00108.png,True,keep,21.65440573419472
00109.png,True,keep,22.550735538304643
00110.png,True,keep,28.96917607517123
00111.png,True,keep,23.97744168368004
00112.png,True,keep,28.94868329092691
