filename,bicubic_psnr
00000.png,22.32490750708866
00001.png,28.601588742595965
00002.png,21.891911377631764
00003.png,20.858779588138617
00004.png,25.55132955389509
00005.png,23.35285846068217
00006.png,25.54897336360529
00007.png,24.08784312196304
00008.png,24.765889332663097
00009.png,24.11961468925693
00010.png,21.07019402277169
00011.png,21.61045408553848
00012.png,28.43801438238632
00013.png,23.66202929184746
00014.png,18.53946533013764
00015.png,20.83593909433116
00016.png,21.293850603718827
00017.png,26.379464530112053
00018.png,29.99404370135234
00019.png,25.578955892843847
00020.png,23.586427534137307
00021.png,12.084002588848898
00022.png,28.051957690096355
00023.png,23.67867085198103
00024.png,25.660567470563212
00025.png,37.58677966960152
00026.png,27.32333147375969
00027.png,25.609905886471893
00028.png,22.133934322825425
00029.png,24.93164381027025
00030.png,21.68799239032928
00031.png,26.765379341228048
00032.png,19.916796962481182
00033.png,38.05757794760166
00034.png,26.91624840705196
00035.png,19.790814447418185
00036.png,27.300826929385188
00037.png,23.092190605209737
00038.png,24.686802823804115
00039.png,19.458135443666407
00040.png,21.641370072313265
00041.png,29.01990747023753
00042.png,28.992504994011306
00043.png,37.66790664290748
00044.png,21.09111609213469
00045.png,30.008279685388157
00046.png,31.47593715486512
00047.png,25.08015586205608
00048.png,26.40834151225612
00049.png,23.781074510412395
00050.png,20.32815067718552
00051.png,24.670356503759685
00052.png,24.78040209611965
00053.png,23.68771162844457
00054.png,18.64337373175332
00055.png,21.81153214258602
00056.png,26.664488185833687
00057.png,26.49083831906218
00058.png,37.4702812988022
00059.png,32.05372087538474
00060.png,26.842457653706436
00061.png,25.56195769612509
00062.png,28.559064178641744
00063.png,33.54454738445281
00064.png,36.535289774401406
00065.png,26.265190068036254
00066.png,24.38156025307687
00067.png,17.605378299072484
00068.png,16.00429256764383
00069.png,23.82031731569527
00070.png,24.40511362033752
00071.png,25.953736653251028
00072.png,23.27109784304426
00073.png,23.127248907744253
00074.png,21.261593398798997
00075.png,21.02781427996326
00076.png,23.357179316912102
00077.png,39.37940466910846
00078.png,22.26894781184101
00079.png,24.383244644841355
00080.png,17.59596355765901
00081.png,20.851543421796958
00082.png,22.3431746766202
00083.png,26.361070462662692
00084.png,21.306109365719816
00085.png,23.98075707600419
00086.png,21.482121836056084
00087.png,27.857566345995085
00088.png,29.34128591779107
00089.png,23.60022883725424
00090.png,23.87784666709173
00091.png,39.4927684892688
00092.png,24.94161345671017
00093.png,20.961347034297106
00094.png,24.90340572717035
00095.png,23.521718918864025
00096.png,28.553170741406
00097.png,25.459901846795884
00098.png,21.750173052926016
00099.png,22.91117411247573
00100.png,23.24994025098432
00101.png,22.689214239467532
00102.png,29.290109624606103
00103.png,26.06851026085241
00104.png,39.25359953486823
00105.png,24.61659149270945
00106.png,23.98694049963117
00107.png,21.82823731694504
00108.png,21.65440788441863
00109.png,22.55073724686053
00110.png,28.9691779391664
00111.png,23.97744333189332
00112.png,28.948683848032854
00113.png,16.37330060583877
00114.png,20.43807843233159
00115.png,29.82732736579134
00116.png,24.00019750480357
00117.png,17.630917710413176
00118.png,21.736798335498865
00119.png,25.016780917039355
00120.png,38.83163377201087
00121.png,23.546071875531997
00122.png,21.789539286428603
00123.png,21.370763741243145
00124.png,26.19109109194569
00125.png,27.575968183769547
00126.png,21.046701152455192
00127.png,25.873085843411744
00128.png,30.126391171726308
00129.png,37.50498013973484
00130.png,24.12757165528766
00131.png,25.52287639600334
00132.png,31.07502775266668
00133.png,23.80163861576961
00134.png,21.002907183301804
00135.png,25.97013136970719
00136.png,22.3179051946906
00137.png,18.93891062850317
00138.png,26.99519945856688
00139.png,21.043396084135544
00140.png,24.85943190043362
00141.png,36.8574231332085
00142.png,26.44104707019711
00143.png,22.716631239860423
00144.png,22.577138241290218
00145.png,23.441463764531964
00146.png,25.72910978678124
00147.png,23.489729651225424
00148.png,22.54222537631712
00149.png,21.994910179671017
00150.png,23.97584914845148
00151.png,28.71651821447001
00152.png,37.8088219875505
00153.png,32.39464802090197
00154.png,26.04987559643725
00155.png,30.090444563273376
00156.png,17.63492315917603
00157.png,22.40884660124576
00158.png,23.237270440749363
00159.png,25.99395848323416
00160.png,25.271693713352988
00161.png,25.35441167674143
00162.png,37.71554302044379
00163.png,21.9460357057514
00164.png,21.29580691825157
00165.png,19.500944980628606
00166.png,23.69433928419648
00167.png,21.069379570853886
00168.png,23.65737240596949
00169.png,29.42584716321388
00170.png,20.973588181321496
00171.png,29.31629502113818
00172.png,19.89874708758785
00173.png,39.51178236766172
00174.png,30.42532923568714
00175.png,30.717075431974017
00176.png,24.818519960699295
00177.png,23.82653489055672
00178.png,25.19945961177087
00179.png,22.02901742374531
00180.png,26.757435382972982
00181.png,26.54944448220896
00182.png,17.802425870558704
00183.png,24.296934928233732
00184.png,19.70331124253953
00185.png,23.00012953001517
00186.png,38.34710816603724
00187.png,25.0337456691523
00188.png,25.9988907996148
00189.png,19.04029615978321
00190.png,23.46285135299044
00191.png,29.511597815595746
00192.png,25.65172589827553
00193.png,26.94553980792324
00194.png,21.183366427368977
00195.png,23.63356680043712
00196.png,25.547577871985084
00197.png,17.307460935995156
00198.png,22.571448690101057
00199.png,20.358816079587044
00200.png,24.37779680382152
00201.png,23.327392619961955
00202.png,20.69347993051696
00203.png,23.722105371435408
00204.png,25.608318908586
00205.png,24.62618040581704
00206.png,25.97777695885144
00207.png,26.628744601658383
00208.png,23.853481842720463
00209.png,26.36248326630509
00210.png,29.050018722364204
00211.png,23.085152779225083
00212.png,23.598644848858967
00213.png,38.451356984120125
00214.png,25.17769028155437
00215.png,22.41295733232722
00216.png,25.30015024765539
00217.png,22.60481249956501
00218.png,19.607125645133458
00219.png,19.29208121326057
00220.png,24.59787480634642
00221.png,24.665884091486166
00222.png,21.967846607515504
00223.png,27.588671245608754
00224.png,22.370906984641103
00225.png,20.109417776363596
00226.png,24.192604769572903
00227.png,26.713473054860557
00228.png,28.35962530326519
00229.png,28.108907855221847
00230.png,21.392493216975023
00231.png,18.77356525635908
00232.png,21.329130993041904
00233.png,27.669327290874225
00234.png,31.20924933740039
00235.png,29.99861355395346
00236.png,25.26711006550005
00237.png,30.109537445752707
00238.png,20.425487117797488
00239.png,23.292010919414704
00240.png,30.8627913380049
00241.png,24.162645835133432
00242.png,36.9633220172605
00243.png,24.835689475747948
00244.png,23.591214418384254
00245.png,24.22506817671948
00246.png,28.382968271503223
00247.png,27.93312814208801
00248.png,22.550845890760318
00249.png,24.367520847967118
00250.png,21.300720520444905
00251.png,23.695682791064694
00252.png,22.689321870358423
00253.png,24.760461973070036
00254.png,20.16911664822697
00255.png,27.44793955763165
00256.png,22.48642990761197
00257.png,20.086479035647955
00258.png,22.05681038436032
00259.png,26.510747080349304
00260.png,21.15654232412922
00261.png,22.50570525025687
00262.png,30.27663670793869
00263.png,22.596367502624982
00264.png,19.05385703023165
00265.png,22.21815092739758
00266.png,22.736281872381447
00267.png,40.10947246160729
00268.png,27.32530458449636
00269.png,25.68430570413353
00270.png,23.05682005358012
00271.png,25.83631319996177
00272.png,25.15618021064679
00273.png,18.222336458741974
00274.png,21.94238125710465
00275.png,20.746453750762683
00276.png,29.392210403651006
00277.png,26.35816569506185
00278.png,22.4620642063879
00279.png,23.218519781682957
00280.png,19.01105356304148
00281.png,23.67504739192761
00282.png,24.488109164796622
00283.png,25.5717880749142
00284.png,29.075718507171928
00285.png,20.458842324069693
00286.png,25.162815361029303
00287.png,24.7253148390668
00288.png,21.914725298076
00289.png,19.864050835563944
00290.png,22.90650092968532
00291.png,23.57494531047205
00292.png,21.432613806581145
00293.png,22.264891383501624
00294.png,29.96162629296465
00295.png,25.153597809345968
00296.png,25.448703039381968
00297.png,23.75187253033652
00298.png,32.45109823693607
00299.png,29.660998104489742
00300.png,21.66312645224281
00301.png,23.49329061741691
00302.png,23.8416096329688
00303.png,31.588386730663043
00304.png,22.80002445368193
00305.png,30.15999508813229
00306.png,28.730630971628
00307.png,21.001660760663157
00308.png,22.138430314174983
00309.png,21.4052347638218
00310.png,24.13569513166017
00311.png,26.62592228484433
00312.png,27.24073486700017
00313.png,23.20729997378168
00314.png,23.17798588359265
00315.png,22.87724354372092
00316.png,24.65206683293063
00317.png,23.272345337521667
00318.png,19.622110012635147
00319.png,28.803975165912327
00320.png,19.13997597703872
00321.png,22.892142649865452
00322.png,26.236698505882824
00323.png,20.255926427119988
00324.png,24.373290643943285
00325.png,19.906810378887368
00326.png,30.088804636967595
00327.png,38.24953285523813
00328.png,27.70479004356656
00329.png,20.869358624020528
00330.png,25.829674123778663
00331.png,31.7570429389073
00332.png,25.25770390813447
00333.png,23.236799334247088
00334.png,20.648372683844546
00335.png,25.193666590741408
00336.png,24.95850099787799
00337.png,20.425144353288932
00338.png,22.67483548486026
00339.png,20.850677748761505
00340.png,25.93608780538128
00341.png,37.25132723431537
00342.png,22.53803356447465
00343.png,26.20426121441914
00344.png,28.69982795568404
00345.png,23.08353218967062
00346.png,24.40320382814781
00347.png,19.88059381934989
00348.png,24.892076980197217
00349.png,24.614164234213494
00350.png,21.66920136146334
00351.png,26.415435883093657
00352.png,29.34171307589692
00353.png,25.641016908389894
00354.png,23.756516163606605
00355.png,25.14657477473916
00356.png,37.13436564755389
00357.png,35.921780994556734
00358.png,23.00563428530667
